#,Zona Geográfica,Região administrativa,Bairro,População(2010),área km²,área km²
378,ZONA OESTE,Oeste,Vila Madre Gertrudes II,666,"0,01",
379,ZONA LESTE,Nordeste,Bela Vitória,664,"0,069",
380,ZONA NORTE,Noroeste,Vila Maloca,663,"0,021",
381,ZONA NORTE,Pampulha,Conjunto Lagoa,662,"0,073",
382,ZONA LESTE,Pampulha,Vila Suzana I,646,"0,065",
383,ZONA OESTE,Barreiro,Distrito Industrial do Jatobá,644,"0,979",
384,ZONA LESTE,Leste,Pirineus,636,"0,515",
385,ZONA NORTE,Pampulha,Vila Aeroporto Jaraguá,618,"0,01",
386,ZONA NORTE,Norte,Vila Nova,591,"0,017",
387,ZONA LESTE,Nordeste,Vila Ouro Minas,588,"0,027",
388,ZONA LESTE,Nordeste,Três Marias,587,"0,032",
389,ZONA OESTE,Barreiro,Vila Nova dos Milionários,587,"0,012",
390,ZONA LESTE,Norte,Mirante,565,"0,018",
391,ZONA SUL,Centro-Sul,Vila Bandeirantes,562,"0,019",
392,ZONA LESTE,Nordeste,Boa Esperança,546,"0,017",
393,ZONA NORTE,Nordeste,Vila da Paz,534,"0,018",
394,ZONA OESTE,Oeste,Vila Calafate,529,"0,021",
395,ZONA LESTE,Leste,São Vicente,505,"0,015",
396,ZONA NORTE,Pampulha,Novo Ouro Preto,502,"0,037",
397,ZONA NORTE,Nordeste,Canadá,492,"0,092",
398,ZONA LESTE,Nordeste,Antônio Ribeiro de Abreu,484,"0,059",
399,ZONA NORTE,Norte,Satélite,482,"0,14",
400,ZONA NORTE,Pampulha,Vila Antena Montanhês,448,"0,027",
401,ZONA LESTE,Nordeste,Grotinha,447,"0,023",
402,ZONA LESTE,Leste,Cônego Pinheiro,446,"0,015",
403,ZONA SUL,Oeste,Chácara Leonina,434,"0,038",
404,ZONA OESTE,Oeste,Vila Madre Gertrudes III,421,"0,018",
405,ZONA LESTE,Nordeste,Vila São Gabriel,420,"0,022",
406,ZONA LESTE,Leste,Vila Paraíso,414,"0,026",
407,ZONA SUL,Centro-Sul,Ápia,405,"0,016",
408,ZONA OESTE,Oeste,Vila da Amizade,402,"0,021",
409,ZONA OESTE,Barreiro,Alta Tensão,397,"0,014",
410,ZONA LESTE,Leste,João Alfredo,391,"0,018",
411,ZONA SUL,Barreiro,Alto das Antenas,384,"0,156",
412,ZONA LESTE,Norte,Maria Teresa,373,"0,893",
413,ZONA LESTE,Leste,Caetano Furquim,370,"0,025",
414,ZONA OESTE,Barreiro,Vila Independência IV,368,"0,029",
415,ZONA NORTE,Pampulha e Venda Nova,Unidas,367,"0,011",
416,ZONA NORTE,Venda Nova,Vila Piratininga Venda Nova,366,"0,009",
417,ZONA NORTE,Nordeste,São Sebastião,356,"0,019",
418,ZONA NORTE,Pampulha,Nova Pampulha,350,"0,039",
419,ZONA SUL,Oeste,Vila Havaí,347,"0,009",
420,ZONA LESTE,Nordeste,Mirtes,346,"0,013",
421,ZONA SUL,Barreiro,Serra do Curral,344,"17,517",
422,ZONA NORTE,Venda Nova,Vila Sesc,343,"0,02",
423,ZONA LESTE,Nordeste,Morro dos Macacos,340,"0,015",
424,ZONA LESTE,Leste,Vila da Área,337,"0,021",
425,ZONA NORTE,Pampulha,Vila Santo Antônio,335,"0,014",
426,ZONA NORTE,Venda Nova,Flamengo,328,"0,016",
427,ZONA OESTE,Oeste,Gameleira,328,"1,017",
428,ZONA OESTE,Barreiro,Vila Copasa,321,"0,01",
429,ZONA NORTE,Venda Nova,São Damião,320,"0,217",
430,ZONA OESTE,Oeste,Custodinha,319,"0,009",
431,ZONA LESTE,Norte,Boa União I,309,"0,007",
432,ZONA NORTE,Pampulha,Conjunto São Francisco de Assis,300,"0,014",
433,ZONA OESTE,Barreiro,Vila Petrópolis,298,"0,011",
434,ZONA LESTE,Norte,Conjunto Providência,283,"0,014",
435,ZONA OESTE,Barreiro,Marieta II,277,"0,008",
436,ZONA NORTE,Pampulha,Vila Engenho Nogueira,263,"0,023",
437,ZONA NORTE,Pampulha,Vila Jardim Montanhês,259,"0,031",
438,ZONA OESTE,Noroeste,Vila das Oliveiras,241,"0,012",
439,ZONA NORTE,Venda Nova,Conjunto Serra Verde,240,"0,015",
440,ZONA LESTE,Leste,Camponesa III,236,"0,026",
441,ZONA NORTE,Venda Nova,Vila Jardim Leblon,225,"0,01",
442,ZONA OESTE,Barreiro,Vila Tirol,208,"0,008",
443,ZONA OESTE,Oeste,Barão Homem de Melo III,207,"0,008",
444,ZONA OESTE,Barreiro,CDI Jatobá,204,"0,874",
445,ZONA OESTE,Oeste,Vila Madre Gertrudes V,201,"0,013",
446,ZONA NORTE,Pampulha,Vila Rica,200,"0,029",
447,ZONA LESTE,Leste,Grota,195,"0,01",
448,ZONA OESTE,Oeste,Vila Betânia,195,"0,02",
449,ZONA LESTE,Nordeste,Vila São Dimas,194,"0,01",
450,ZONA OESTE,Barreiro,Vila Batik,192,"0,012",
451,ZONA OESTE,Oeste,Barão Homem de Melo IV,189,"0,065",
452,ZONA LESTE,Nordeste,Vila Ipiranga,187,"0,005",
453,ZONA LESTE,Leste,Vila São Geraldo,182,"0,005",
454,ZONA LESTE,Norte,Boa União II,177,"0,013",
455,ZONA LESTE,Leste,Cidade Jardim Taquaril,173,"2,083",
456,ZONA SUL,Centro-Sul,Nossa Senhora do Rosário,173,"0,162",
457,ZONA NORTE,Venda Nova,Vila Canto do Sabiá,173,"0,017",
458,ZONA NORTE,Venda Nova,Laranjeiras,163,"0,018",
459,ZONA SUL,Centro-Sul,Pindura Saia,153,"0,004",
460,ZONA NORTE,Noroeste,Vila Nova Cachoeirinha II,145,"0,007",
461,ZONA LESTE,Nordeste,Vila do Pombal,142,"0,004",
462,ZONA SUL,Centro-Sul,Santa Isabel,139,"0,006",
463,ZONA NORTE,Venda Nova,Vila Satélite,128,"0,008",
464,ZONA NORTE,Venda Nova,Várzea da Palma,125,"0,006",
465,ZONA LESTE,Leste,Camponesa I,122,"0,02",
466,ZONA NORTE,Pampulha,Vila Real I,109,"0,002",
467,ZONA NORTE,Norte,Bacurau,104,"0,004",
468,ZONA NORTE,Venda Nova,Nova América,99,"0,005",
469,ZONA OESTE,Oeste,Vila Nova Gameleira III,95,"0,015",
470,ZONA OESTE,Noroeste,Lorena,91,"0,005",
471,ZONA OESTE,Noroeste,Vila Puc,89,"0,004",
472,ZONA SUL,Centro-Sul,Vila Fumec,72,"0,003",
473,ZONA NORTE,Pampulha,Vila São Francisco,69,"0,003",
474,ZONA SUL,Centro-Sul,Mala e Cuia,60,"0,002",
475,ZONA LESTE,Pampulha,Vila Suzana II,60,"0,003",
476,ZONA OESTE,Oeste,Maravilha,56,"0,004",
477,ZONA LESTE,Leste,Cônego Pinheiro A,43,"0,008",
478,ZONA LESTE,Centro-Sul e Leste,Baleia,17,"3,552",
479,ZONA NORTE,Pampulha,Xangri-lá,8,"0,526",
480,ZONA LESTE,Leste,Belém,0,"0,002",
481,ZONA NORTE,Pampulha,Bispo de Maura,0,"0,017",
482,ZONA NORTE,Pampulha,Campus UFMG,0,"3,85",
483,ZONA LESTE,Nordeste,Guanabara,0,"0,002",
484,ZONA NORTE,Pampulha,Lagoa da Pampulha,0,"3,138",
485,ZONA NORTE,Noroeste,Sumaré,0,"0,149",
486,ZONA LESTE,Leste,Vila Vera Cruz I,0,"0,008",
487,ZONA LESTE,Leste,Vila Vera Cruz II,0,"0,001",
